"","date","team","opponent","team_score","opponent_score","tournament","city","country","neutral","team_abrv","opponent_abrv"
"6429",2001-12-22,"Togo","Burkina Faso",1,0,"Friendly","Lomé","Togo",FALSE,"TOG","BFA"
"6430",2001-12-23,"Oman","Syria",2,0,"Friendly","Muscat","Oman",FALSE,"OMA","SYR"
"6431",2001-12-25,"Mali","Ghana",1,1,"Friendly","Mopti","Mali",FALSE,"MLI","GHA"
"6432",2001-12-25,"Oman","Syria",1,0,"Friendly","Muscat","Oman",FALSE,"OMA","SYR"
"6433",2001-12-26,"Senegal","Burkina Faso",2,4,"Friendly","Dakar","Senegal",FALSE,"SEN","BFA"
"6434",2001-12-28,"Mali","Burkina Faso",2,1,"Friendly","Ségou","Mali",FALSE,"MLI","BFA"
"6435",2001-12-29,"Kuwait","Syria",0,0,"Friendly","Kuwait City","Kuwait",FALSE,"KUW","SYR"
"6436",2001-12-30,"Benin","Togo",1,1,"Friendly","Cotonou","Benin",FALSE,"BEN","TOG"
"6437",2001-12-30,"Oman","North Macedonia",2,0,"Friendly","Muscat","Oman",FALSE,"OMA","MKD"
"6438",2001-12-30,"Qatar","Egypt",2,2,"Friendly","Doha","Qatar",FALSE,"QAT","EGY"
"6439",2001-12-30,"Saudi Arabia","Zimbabwe",0,2,"Friendly","Riyadh","Saudi Arabia",FALSE,"KSA","ZIM"
"6440",2001-12-30,"Senegal","Algeria",1,0,"Friendly","Dakar","Senegal",FALSE,"SEN","ALG"
"6441",2001-12-30,"Tunisia","Liberia",7,2,"Friendly","Tunis","Tunisia",FALSE,"TUN","LBR"
"6442",2001-12-31,"Kuwait","Syria",2,2,"Friendly","Kuwait City","Kuwait",FALSE,"KUW","SYR"
"6443",2002-01-04,"Bahrain","Finland",0,2,"Prime Minister's Cup","Riffa","Bahrain",FALSE,"BHR","FIN"
"6444",2002-01-04,"Egypt","Ghana",2,0,"Friendly","Cairo","Egypt",FALSE,"EGY","GHA"
"6445",2002-01-04,"Martinique","Guadeloupe",1,3,"Friendly","Fort-de-France","Martinique",FALSE,"MTQ","GLP"
"6446",2002-01-05,"Albania","North Macedonia",0,0,"Prime Minister's Cup","Riffa","Bahrain",TRUE,"ALB","MKD"
"6447",2002-01-05,"Kuwait","Zimbabwe",3,0,"Friendly","Kuwait City","Kuwait",FALSE,"KUW","ZIM"
"6448",2002-01-06,"Cuba","Guatemala",0,1,"Friendly","Havana","Cuba",FALSE,"CUB","GUA"
"6449",2002-01-06,"Egypt","Mali",1,2,"Friendly","Ismailia","Egypt",FALSE,"EGY","MLI"
"6450",2002-01-06,"Martinique","Haiti",3,3,"Friendly","Fort-de-France","Martinique",FALSE,"MTQ","HAI"
"6451",2002-01-07,"Albania","Finland",1,1,"Prime Minister's Cup","Riffa","Bahrain",TRUE,"ALB","FIN"
"6452",2002-01-07,"Bahrain","North Macedonia",1,1,"Prime Minister's Cup","Riffa","Bahrain",FALSE,"BHR","MKD"
"6453",2002-01-07,"Burkina Faso","Cameroon",1,3,"Friendly","Ouagadougou","Burkina Faso",FALSE,"BFA","CMR"
"6454",2002-01-08,"Kuwait","Iceland",0,0,"Friendly","Muscat","Oman",TRUE,"KUW","ISL"
