pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
FC,2020-09-30,86.5,2.41,5.95,Hyun Jin Ryu,592669,547943,null,swinging_strike,,,,,2,null,F,R,L,TB,TOR,S,null,null,1,0,2020,0,0.9,-0.15,3.09,null,664040,622534,2,1,Bot,null,null,,,643376,,null,-6.161294641,-125.8473537,-2.409160024,1.382365876,26.55629075,-22.3484785,3.38,1.57,null,null,null,86.9,2032,,635912,547943,643376,543768,605412,624415,666182,666971,545341,606192,53.83,null,null,null,null,null,null,null,9,2,Cutter,1,0,1,0,0,1,1,0,Infield shift,Strategic
FF,2020-09-30,89.4,2.39,5.8,Hyun Jin Ryu,592669,547943,null,ball,,,,,11,null,F,R,L,TB,TOR,B,null,null,0,0,2020,1.1,1.5,-0.99,2.69,null,664040,622534,2,1,Bot,null,null,,,643376,,null,-10.79370105,-129.526578,-4.658482832,15.20812402,30.55597568,-14.95085821,3.54,1.71,null,null,null,89.5,2131,,635912,547943,643376,543768,605412,624415,666182,666971,545341,606192,53.62,null,null,null,null,null,null,null,9,1,4-Seam Fastball,1,0,1,0,0,1,1,0,Infield shift,Strategic
CH,2020-09-30,78.4,2.66,5.67,Hyun Jin Ryu,622534,547943,single,hit_into_play_score,,,,,14,Manuel Margot singles on a ground ball to right fielder Teoscar Hernandez.   Randy Arozarena scores.    Brandon Lowe to 2nd.  ,F,R,L,TB,TOR,X,9,ground_ball,0,1,2020,1.3,0.6,1.2,1.96,668227,null,664040,2,1,Bot,153.45,120.86,,,643376,,null,-5.552788104,-114.0928163,-2.268033004,12.09558812,20.88632208,-26.85735555,3.24,1.52,24,98.4,-4,79.3,1377,,635912,547943,643376,543768,605412,624415,666182,666971,545341,606192,53.58,0.207,0.186,0.9,1,1,0,2,8,2,Changeup,0,0,0,0,0,0,0,0,Standard,Standard
SI,2020-09-30,90.7,2.42,5.79,Hyun Jin Ryu,622534,547943,null,called_strike,,,,,9,null,F,R,L,TB,TOR,S,null,null,0,0,2020,1.6,0.9,0.58,1.96,668227,null,664040,2,1,Bot,null,null,,,643376,,null,-8.223928802,-131.7565004,-5.528087274,20.98669602,29.71061171,-20.93696824,3.41,1.63,null,null,null,91.3,1964,,635912,547943,643376,543768,605412,624415,666182,666971,545341,606192,53.6,null,null,null,null,null,null,null,8,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard
FC,2020-09-30,84.8,2.48,5.87,Hyun Jin Ryu,650490,547943,strikeout,swinging_strike,,,,,14,Yandy Diaz strikes out swinging.  ,F,R,L,TB,TOR,S,2,null,1,2,2020,-0.1,0.3,0.9,2.28,668227,null,664040,1,1,Bot,null,null,,,643376,,null,-3.473337678,-123.4901135,-2.581454747,-0.522665309,25.14620708,-29.23985145,3.36,1.61,null,null,null,85.5,1985,,635912,547943,643376,543768,605412,624415,666182,666971,545341,606192,53.77,null,null,0,1,0,0,null,7,4,Cutter,0,0,0,0,0,0,0,0,Standard,Standard
FC,2020-09-30,85.6,2.29,6.07,Hyun Jin Ryu,650490,547943,null,foul,,,,,1,null,F,R,L,TB,TOR,S,null,null,1,1,2020,0,0.7,-0.39,3.3,668227,null,664040,1,1,Bot,null,null,,,643376,,null,-6.380200196,-124.5025221,-1.687049914,1.284003572,25.72079201,-24.67250092,3.36,1.61,145,83.8,11,86.3,1996,,635912,547943,643376,543768,605412,624415,666182,666971,545341,606192,53.66,null,null,null,null,null,null,null,7,3,Cutter,0,0,0,0,0,0,0,0,Standard,Standard
CH,2020-09-30,80.2,2.67,5.68,Hyun Jin Ryu,650490,547943,null,called_strike,,,,,14,null,F,R,L,TB,TOR,S,null,null,1,0,2020,1.2,0.8,0.87,1.85,668227,null,664040,1,1,Bot,null,null,,,643376,,null,-6.263676665,-116.5404971,-3.213782876,11.91766513,23.65463507,-24.62583804,3.4,1.67,null,null,null,80.6,1470,,635912,547943,643376,543768,605412,624415,666182,666971,545341,606192,53.67,null,null,null,null,null,null,null,7,2,Changeup,0,0,0,0,0,0,0,0,Standard,Standard
CU,2020-09-30,71.5,2.33,6.05,Hyun Jin Ryu,650490,547943,null,ball,,,,,12,null,F,R,L,TB,TOR,B,null,null,0,0,2020,-1.1,-1.3,1.03,2.68,668227,null,664040,1,1,Bot,null,null,,,643376,,null,-0.752610168,-103.8528896,3.319155417,-7.441251372,21.98749467,-42.35720401,3.38,1.61,null,null,null,71.1,2470,,635912,547943,643376,543768,605412,624415,666182,666971,545341,606192,53.79,null,null,null,null,null,null,null,7,1,Curveball,0,0,0,0,0,0,0,0,Standard,Standard
SI,2020-09-30,88.2,2.3,5.85,Hyun Jin Ryu,664040,547943,single,hit_into_play_no_out,,,,,9,Brandon Lowe singles on a ground ball to right fielder Teoscar Hernandez.   Randy Arozarena to 3rd.  ,F,L,L,TB,TOR,X,9,ground_ball,0,0,2020,1.6,0.9,0.33,1.75,null,null,668227,1,1,Bot,174.67,119.82,,,643376,,null,-8.224572487,-127.9807175,-5.633453195,19.56250329,29.50857196,-21.57455523,3.18,1.46,89,98,4,88.3,1955,,635912,547943,643376,543768,605412,624415,666182,666971,545341,606192,53.73,0.486,0.437,0.9,1,1,0,4,6,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard
CH,2020-09-30,80.3,2.52,5.77,Hyun Jin Ryu,668227,547943,single,hit_into_play_no_out,,,,,14,Randy Arozarena singles on a line drive to right fielder Teoscar Hernandez.  ,F,R,L,TB,TOR,X,9,line_drive,1,1,2020,1.3,0.6,1.72,2.29,null,null,null,1,1,Bot,164.17,78.86,,,643376,,null,-4.177079346,-116.8472278,-2.112020868,12.24341944,24.11168992,-26.45795731,3.29,1.54,260,77.1,23,80.5,1576,,635912,547943,643376,543768,605412,624415,666182,666971,545341,606192,53.88,0.843,0.759,0.9,1,1,0,4,5,3,Changeup,0,0,0,0,0,0,0,0,Standard,Standard
