팀,구분,연도,기록
키움,장타력,1982,NA
키움,장타력,1983,NA
키움,장타력,1984,NA
키움,장타력,1985,NA
키움,장타력,1986,NA
키움,장타력,1987,NA
키움,장타력,1988,NA
키움,장타력,1989,NA
키움,장타력,1990,NA
키움,장타력,1991,0.379
키움,장타력,1992,0.37
키움,장타력,1993,0.301
키움,장타력,1994,0.359
키움,장타력,1995,0.364
키움,장타력,1996,0.369
키움,장타력,1997,0.414
키움,장타력,1998,0.391
키움,장타력,1999,0.358
키움,장타력,2000,NA
키움,장타력,2001,NA
키움,장타력,2002,NA
키움,장타력,2003,NA
키움,장타력,2004,NA
키움,장타력,2005,NA
키움,장타력,2006,NA
키움,장타력,2007,NA
키움,장타력,2008,NA
키움,장타력,2009,NA
키움,장타력,2010,NA
키움,장타력,2011,NA
키움,장타력,2012,NA
키움,장타력,2013,NA
키움,장타력,2014,NA
키움,장타력,2015,NA
키움,장타력,2016,NA
키움,장타력,2017,NA
키움,장타력,2018,NA
키움,장타력,2019,NA
키움,장타력,2020,NA
키움,OPS,1982,NA
키움,OPS,1983,NA
키움,OPS,1984,NA
키움,OPS,1985,NA
키움,OPS,1986,NA
키움,OPS,1987,NA
키움,OPS,1988,NA
키움,OPS,1989,NA
키움,OPS,1990,NA
키움,OPS,1991,0.717
키움,OPS,1992,0.711
키움,OPS,1993,0.603
키움,OPS,1994,0.675
키움,OPS,1995,0.683
키움,OPS,1996,0.709
키움,OPS,1997,0.766
키움,OPS,1998,0.725
키움,OPS,1999,0.678
키움,OPS,2000,NA
키움,OPS,2001,NA
키움,OPS,2002,NA
키움,OPS,2003,NA
키움,OPS,2004,NA
키움,OPS,2005,NA
키움,OPS,2006,NA
키움,OPS,2007,NA
키움,OPS,2008,NA
키움,OPS,2009,NA
키움,OPS,2010,NA
키움,OPS,2011,NA
키움,OPS,2012,NA
키움,OPS,2013,NA
키움,OPS,2014,NA
키움,OPS,2015,NA
키움,OPS,2016,NA
키움,OPS,2017,NA
키움,OPS,2018,NA
키움,OPS,2019,NA
키움,OPS,2020,NA
키움,타율,1982,NA
키움,타율,1983,NA
키움,타율,1984,NA
키움,타율,1985,NA
키움,타율,1986,NA
키움,타율,1987,NA
키움,타율,1988,NA
키움,타율,1989,NA
키움,타율,1990,NA
키움,타율,1991,NA
키움,타율,1992,NA
키움,타율,1993,NA
키움,타율,1994,NA
키움,타율,1995,NA
키움,타율,1996,NA
키움,타율,1997,NA
키움,타율,1998,NA
키움,타율,1999,NA
키움,타율,2000,NA
키움,타율,2001,NA
키움,타율,2002,NA
키움,타율,2003,NA
키움,타율,2004,NA
키움,타율,2005,NA
키움,타율,2006,NA
키움,타율,2007,NA
키움,타율,2008,0.266
키움,타율,2009,0.272
키움,타율,2010,0.262
키움,타율,2011,0.245
키움,타율,2012,0.243
키움,타율,2013,0.272
키움,타율,2014,0.298
키움,타율,2015,0.298
키움,타율,2016,0.293
키움,타율,2017,0.291
키움,타율,2018,0.289
키움,타율,2019,0.282
키움,타율,2020,0.269
한화,출루율,1982,NA
한화,출루율,1983,NA
한화,출루율,1984,NA
한화,출루율,1985,NA
한화,출루율,1986,NA
한화,출루율,1987,NA
한화,출루율,1988,NA
한화,출루율,1989,NA
한화,출루율,1990,NA
한화,출루율,1991,NA
한화,출루율,1992,NA
한화,출루율,1993,NA
한화,출루율,1994,NA
한화,출루율,1995,NA
한화,출루율,1996,NA
한화,출루율,1997,NA
한화,출루율,1998,NA
한화,출루율,1999,NA
한화,출루율,2000,NA
한화,출루율,2001,NA
한화,출루율,2002,NA
한화,출루율,2003,NA
한화,출루율,2004,NA
한화,출루율,2005,NA
한화,출루율,2006,NA
한화,출루율,2007,NA
한화,출루율,2008,0.338
한화,출루율,2009,0.356
한화,출루율,2010,0.34
한화,출루율,2011,0.323
한화,출루율,2012,0.325
한화,출루율,2013,0.358
한화,출루율,2014,0.382
한화,출루율,2015,0.372
한화,출루율,2016,0.368
한화,출루율,2017,0.357
한화,출루율,2018,0.355
한화,출루율,2019,0.354
한화,출루율,2020,0.355
한화,장타력,1982,NA
한화,장타력,1983,NA
한화,장타력,1984,NA
한화,장타력,1985,NA
한화,장타력,1986,NA
한화,장타력,1987,NA
한화,장타력,1988,NA
한화,장타력,1989,NA
한화,장타력,1990,NA
한화,장타력,1991,NA
한화,장타력,1992,NA
한화,장타력,1993,NA
한화,장타력,1994,NA
한화,장타력,1995,NA
한화,장타력,1996,NA
한화,장타력,1997,NA
한화,장타력,1998,NA
한화,장타력,1999,NA
한화,장타력,2000,NA
한화,장타력,2001,NA
한화,장타력,2002,NA
한화,장타력,2003,NA
한화,장타력,2004,NA
한화,장타력,2005,NA
한화,장타력,2006,NA
한화,장타력,2007,NA
한화,장타력,2008,0.368
한화,장타력,2009,0.434
한화,장타력,2010,0.374
한화,장타력,2011,0.353
한화,장타력,2012,0.374
한화,장타력,2013,0.413
한화,장타력,2014,0.592
